Date,base_eq,headline_nocost_eq,headline_realism_on_eq,best_eq,best_lev_realized,best_borrowed,best_trading_cost,best_borrow_cost,spy_px,ma300,gate_ma300
2004-01-05,1.0041364605819334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.44525146484375,,0
2004-01-06,1.0101720011841022,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.51815795898438,,0
2004-01-07,1.0138943522653878,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.76974487304688,,0
2004-01-08,1.0157363528484178,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.06765747070312,,0
2004-01-09,1.0201563417122457,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.41218566894531,,0
2004-01-12,1.0235126457705521,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.96175384521484,,0
2004-01-13,1.0240049034655916,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.52474212646484,,0
2004-01-14,1.0307980381115613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.1470947265625,,0
2004-01-15,1.0340042535909053,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.33251953125,,0
2004-01-16,1.0324159536772286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.63041687011719,,0
2004-01-20,1.0321623136171687,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.6105728149414,,0
2004-01-21,1.0374663665378852,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76.20645904541016,,0
2004-01-22,1.0398958588645761,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76.0078125,,0
2004-01-23,1.0319880002911979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.76284790039062,,0
2004-01-26,1.0353518494914637,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76.71626281738281,,0
2004-01-27,1.0332538286322295,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.92835998535156,,0
2004-01-28,1.0228007566542814,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.06105041503906,,0
2004-01-29,1.022234036803154,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.13383483886719,,0
2004-01-30,1.0257813804898128,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.13383483886719,,0
2004-02-02,1.0269191579933237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.4582748413086,,0
2004-02-03,1.0286757414890395,1.0026103231200343,1.0009623002500831,1.0007103060200602,1.0009995212865734,0.001,0.001,2.3125256064071566e-07,75.33251953125,,0
2004-02-04,1.0234654912899566,0.9947845883387806,0.9930063664608613,0.9956511893824497,1.0000010048323844,1.0002312525996329e-06,1.0002312525606016e-06,2.3130603839653557e-10,74.71675109863281,,0
2004-02-05,1.0229569414651698,0.9939992392025857,0.992075079526527,0.9951343331580326,1.0000000010055867,1.0004624544617546e-09,1.00046255874231e-09,2.313595044191761e-13,74.93522644042969,,0
2004-02-06,1.034317507144379,1.0110028200484529,1.0089029841029702,1.0061855589581898,1.0000000000009948,1.0006467188228655e-12,1.0006938611084593e-12,2.3140211602451785e-16,75.77606964111328,,0
